Group_Combined,Group,Year,Metric,Value
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2018,Admissions (N),220
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2019,Admissions (N),209
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2020,Admissions (N),168
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2021,Admissions (N),209
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2022,Admissions (N),258
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2023,Admissions (N),243
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2024,Admissions (N),259
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2015,Enrollments (N),305
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2016,Enrollments (N),240
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2017,Enrollments (N),244
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2018,Enrollments (N),216
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2019,Enrollments (N),202
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2020,Enrollments (N),166
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2021,Enrollments (N),138
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2022,Enrollments (N),169
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2023,Enrollments (N),140
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2024,Enrollments (N),165
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2015,Admissions / Applications,86
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2016,Admissions / Applications,62
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2017,Admissions / Applications,58
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2018,Admissions / Applications,57
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2019,Admissions / Applications,59
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2020,Admissions / Applications,48
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2021,Admissions / Applications,71
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2022,Admissions / Applications,67
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2023,Admissions / Applications,66
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2024,Admissions / Applications,68
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2015,Confirmations / Applications,
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2016,Confirmations / Applications,
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2017,Confirmations / Applications,
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2018,Confirmations / Applications,
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2019,Confirmations / Applications,
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2020,Confirmations / Applications,
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2021,Confirmations / Applications,
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2022,Confirmations / Applications,
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2023,Confirmations / Applications,
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2024,Confirmations / Applications,
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2015,Confirmations / Admissions,
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2016,Confirmations / Admissions,
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2017,Confirmations / Admissions,
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2018,Confirmations / Admissions,
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2019,Confirmations / Admissions,
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2020,Confirmations / Admissions,
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2021,Confirmations / Admissions,
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2022,Confirmations / Admissions,
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2023,Confirmations / Admissions,
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2024,Confirmations / Admissions,
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2015,Enrollments / Applications,64
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2016,Enrollments / Applications,57
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2017,Enrollments / Applications,58
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2018,Enrollments / Applications,56
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2019,Enrollments / Applications,57
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2020,Enrollments / Applications,48
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2021,Enrollments / Applications,47
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2022,Enrollments / Applications,44
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2023,Enrollments / Applications,38
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2024,Enrollments / Applications,43
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2015,Enrollments / Admissions,74
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2016,Enrollments / Admissions,93
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2017,Enrollments / Admissions,100
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2018,Enrollments / Admissions,98
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2019,Enrollments / Admissions,97
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2020,Enrollments / Admissions,99
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2021,Enrollments / Admissions,66
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2022,Enrollments / Admissions,66
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2023,Enrollments / Admissions,58
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2024,Enrollments / Admissions,64
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2015,Enrollments / Confirmations,
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2016,Enrollments / Confirmations,
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2017,Enrollments / Confirmations,
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2018,Enrollments / Confirmations,
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2019,Enrollments / Confirmations,
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2020,Enrollments / Confirmations,
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2021,Enrollments / Confirmations,
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2022,Enrollments / Confirmations,
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2023,Enrollments / Confirmations,
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2024,Enrollments / Confirmations,
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2015,Applications (N),228
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2016,Applications (N),270
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2017,Applications (N),270
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2018,Applications (N),232
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2019,Applications (N),235
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2020,Applications (N),215
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2021,Applications (N),177
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2022,Applications (N),167
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2023,Applications (N),180
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2024,Applications (N),165
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2015,Admissions (N),210
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2016,Admissions (N),122
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2017,Admissions (N),128
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2018,Admissions (N),122
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2019,Admissions (N),105
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2020,Admissions (N),113
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2021,Admissions (N),151
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2022,Admissions (N),140
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2023,Admissions (N),147
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2024,Admissions (N),151
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2015,Enrollments (N),125
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2016,Enrollments (N),110
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2017,Enrollments (N),131
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2018,Enrollments (N),126
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2019,Enrollments (N),107
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2020,Enrollments (N),114
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2021,Enrollments (N),84
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2022,Enrollments (N),85
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2023,Enrollments (N),89
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2024,Enrollments (N),87
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2015,Admissions / Applications,92
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2016,Admissions / Applications,45
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2017,Admissions / Applications,47
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2018,Admissions / Applications,53
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2019,Admissions / Applications,45
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2020,Admissions / Applications,53
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2021,Admissions / Applications,85
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2022,Admissions / Applications,84
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2023,Admissions / Applications,82
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2024,Admissions / Applications,92
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2015,Confirmations / Applications,
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2016,Confirmations / Applications,
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2017,Confirmations / Applications,
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2018,Confirmations / Applications,
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2019,Confirmations / Applications,
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2020,Confirmations / Applications,
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2021,Confirmations / Applications,
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2022,Confirmations / Applications,
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2023,Confirmations / Applications,
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2024,Confirmations / Applications,
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2015,Confirmations / Admissions,
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2016,Confirmations / Admissions,
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2017,Confirmations / Admissions,
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2018,Confirmations / Admissions,
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2019,Confirmations / Admissions,
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2020,Confirmations / Admissions,
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2021,Confirmations / Admissions,
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2022,Confirmations / Admissions,
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2023,Confirmations / Admissions,
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2024,Confirmations / Admissions,
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2015,Enrollments / Applications,55
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2016,Enrollments / Applications,41
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2017,Enrollments / Applications,49
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2018,Enrollments / Applications,54
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2019,Enrollments / Applications,46
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2020,Enrollments / Applications,53
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2021,Enrollments / Applications,47
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2022,Enrollments / Applications,51
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2023,Enrollments / Applications,49
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2024,Enrollments / Applications,53
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2015,Enrollments / Admissions,60
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2016,Enrollments / Admissions,90
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2017,Enrollments / Admissions,102
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2018,Enrollments / Admissions,103
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2019,Enrollments / Admissions,102
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2020,Enrollments / Admissions,101
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2021,Enrollments / Admissions,56
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2022,Enrollments / Admissions,61
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2023,Enrollments / Admissions,61
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2024,Enrollments / Admissions,58
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2015,Enrollments / Confirmations,
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2016,Enrollments / Confirmations,
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2017,Enrollments / Confirmations,
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2018,Enrollments / Confirmations,
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2019,Enrollments / Confirmations,
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2020,Enrollments / Confirmations,
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2021,Enrollments / Confirmations,
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2022,Enrollments / Confirmations,
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2023,Enrollments / Confirmations,
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2024,Enrollments / Confirmations,
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2015,Part-Time Applications (N),750
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2016,Part-Time Applications (N),780
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2017,Part-Time Applications (N),830
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2018,Part-Time Applications (N),756
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2019,Part-Time Applications (N),736
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2020,Part-Time Applications (N),705
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2021,Part-Time Applications (N),588
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2022,Part-Time Applications (N),701
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2023,Part-Time Applications (N),730
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2024,Part-Time Applications (N),751
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2015,Part-Time Admissions (N),642
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2016,Part-Time Admissions (N),387
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2017,Part-Time Admissions (N),395
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2018,Part-Time Admissions (N),379
Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,Enrollments / Confirmations -- -- -- -- -- -- -- -- -- --,2019,Part-Time Admissions (N),338
