,,,,,,Term,Fall 2020,Fall 2021,Fall 2022,Fall 2023,Fall 2024,Description,,,,,,,,,,,,,,,
Health & Rehabilitation Sciences,Nurse Anesthesia Practice,Nurse Anesthesia Practice,Entry Level Specialztn (DNAP),DNAP,18266,513804,60,61,72,81,88,,,,,,,,,,,,,,,,
Health & Rehabilitation Sciences,Nursing,Nursing,,BSN,14729,513801,232,274,335,396,479,,,,,,,,,,,,,,,,
Health & Rehabilitation Sciences,Nursing,Nursing (RN to BSN),,BSN,00078,513801,21,20,22,27,24,,,,,,,,,,,,,,,,
Health & Rehabilitation Sciences,Nursing,Nursing: Hospice and Palliative Care,,MSN,19027,513818,10,12,11,13,9,,,,,,,,,,,,,,,,
Health & Rehabilitation Sciences,Physical Education & Human Performance,Athletic Training,,BS,06923,510913,21,3,1,,,,,,,,,,,,,,,,,,
Health & Rehabilitation Sciences,Physical Education & Human Performance,Athletic Training,,MS,19546,510913,,,3,5,9,,,,,,,,,,,,,,,,
Health & Rehabilitation Sciences,Physical Education & Human Performance,Dance Education,,BS,18177,131324,2,5,7,9,13,,,,,,,,,,,,,,,,
Health & Rehabilitation Sciences,Physical Education & Human Performance,Dance Education,,BS-Teach,18177,131324,18,16,19,13,19,,,,,,,,,,,,,,,,
Health & Rehabilitation Sciences,Physical Education & Human Performance,Exercise Science,,BS,17363,310505,238,225,177,102,52,,,,,,,,,,,,,,,,
Health & Rehabilitation Sciences,Physical Education & Human Performance,Exercise Science,Clinical Exercise Physiology,BS,17363,310505,,,6,19,24,,,,,,,,,,,,,,,,
Health & Rehabilitation Sciences,Physical Education & Human Performance,Exercise Science,Health Sciences,BS,17363,310505,,,34,79,111,,,,,,,,,,,,,,,,
Health & Rehabilitation Sciences,Physical Education & Human Performance,Exercise Science,Strength & Cond./Personal Fit.,BS,17363,310505,,,25,77,92,,,,,,,,,,,,,,,,
Health & Rehabilitation Sciences,Physical Education & Human Performance,Physical Education,,BS-Teach,00064,131314,100,80,74,91,89,,,,,,,,,,,,,,,,
Health & Rehabilitation Sciences,Physical Education & Human Performance,Physical Education,,GRADCERT,10178,131314,4,19,19,15,17,,,,,,,,,,,,,,,,
Health & Rehabilitation Sciences,Physical Education & Human Performance,Physical Education,Exercise Science,MS,00065,131314,11,10,14,14,11,,,,,,,,,,,,,,,,
Health & Rehabilitation Sciences,Physical Education & Human Performance,Physical Education,PreK-12 Track - EDD,BS-Teach,00064,131314,,1,,,,,,,,,,,,,,,,,,,
Health & Rehabilitation Sciences,Physical Education & Human Performance,Physical Education,Teaching Physical Education,MS,00065,131314,8,9,2,7,7,,,,,,,,,,,,,,,,
Health & Rehabilitation Sciences,Social Work,Social Work,,BA,02556,440701,254,227,184,181,214,,,,,,,,,,,,,,,,
Health & Rehabilitation Sciences,Social Work,Social Work,Advanced Specialization-MSW,MSW,22267,511503,,,,,11,,,,,,,,,,,,,,,,
Health & Rehabilitation Sciences,Social Work,Social Work,Entry Level Specialization-MSW,MSW,22267,511503,,,,,18,,,,,,,,,,,,,,,,
Health & Rehabilitation Sciences,Total,Total,Total,Total,Total,Total,1307,1254,1234,1345,1514,,,,,,,,,,,,,,,,
"Engineering, Science & Technology",Biochemistry (Joint Program),Biochemistry,,BS,13670,260202,8,7,4,6,3,,,,,,,,,,,,,,,,
"Engineering, Science & Technology",Biochemistry (Joint Program),Biochemistry,Biochemistry-Certified Track,BS,13670,260202,2,3,7,6,5,,,,,,,,,,,,,,,,
"Engineering, Science & Technology",Biochemistry (Joint Program),Biochemistry,Biochemistry-General Track,BS,13670,260202,17,17,15,11,11,,,,,,,,,,,,,,,,
"Engineering, Science & Technology",Biology,Biological Sciences,Ecology and Environmental Sci,MA,00083,260101,5,6,6,9,5,,,,,,,,,,,,,,,,
"Engineering, Science & Technology",Biology,Biological Sciences,General-Bio,MA,00083,260101,,,3,1,,,,,,,,,,,,,,,,,
"Engineering, Science & Technology",Biology,Biological Sciences,General-Bio,MS,00083,260101,1,2,1,1,1,,,,,,,,,,,,,,,,
"Engineering, Science & Technology",Biology,Biological Sciences,Global Sustainability,MA,00083,260101,1,2,1,1,,,,,,,,,,,,,,,,,
"Engineering, Science & Technology",Biology,Biological Sciences,Health Sciences,MS,00083,260101,6,5,6,2,1,,,,,,,,,,,,,,,,
"Engineering, Science & Technology",Biology,Biological Sciences,Wildlife and Conservation Bio,MS,00083,260101,2,,,3,2,,,,,,,,,,,,,,,,
"Engineering, Science & Technology",Biology,Biology,,BS,00082,260101,119,78,37,24,14,,,,,,,,,,,,,,,,
"Engineering, Science & Technology",Biology,Biology,,BS-Teach,00082,260101,14,7,5,5,11,,,,,,,,,,,,,,,,
"Engineering, Science & Technology",Biology,Biology,,GRADCERT,10603,260101,4,3,3,2,1,,,,,,,,,,,,,,,,
"Engineering, Science & Technology",Biology,Biology,"Ecology, Biodiversity Evol",BS,00082,260101,21,23,30,31,30,,,,,,,,,,,,,,,,
"Engineering, Science & Technology",Biology,Biology,Environmental Science,BS,00082,260101,25,24,22,15,9,,,,,,,,,,,,,,,,
"Engineering, Science & Technology",Biology,Biology,General-Bio,BS,00082,260101,175,146,99,99,94,,,,,,,,,,,,,,,,
"Engineering, Science & Technology",Biology,Biology,Human Biology,BS,00082,260101,27,52,84,126,141,,,,,,,,,,,,,,,,
"Engineering, Science & Technology",Biomolecular Sciences,Biomolecular Sciences,,BS,13445,260204,93,65,43,46,48,,,,,,,,,,,,,,,,
"Engineering, Science & Technology",Biomolecular Sciences,Biomolecular Sciences,,MS,13446,260204,22,16,21,22,25,,,,,,,,,,,,,,,,
"Engineering, Science & Technology",Biomolecular Sciences,Biomolecular Sciences,Biotechnology,BS,13445,260204,9,8,3,2,1,,,,,,,,,,,,,,,,
"Engineering, Science & Technology",Biomolecular Sciences,Biomolecular Sciences,Gen: Biomolecular Sciences,BS,13445,260204,29,14,17,21,20,,,,,,,,,,,,,,,,
"Engineering, Science & Technology",Chemistry & Biochemistry,Chemistry,,BS,00090,400501,14,6,4,6,5,,,,,,,,,,,,,,,,
"Engineering, Science & Technology",Chemistry & Biochemistry,Chemistry,,BS-Teach,00090,400501,3,5,9,6,3,,,,,,,,,,,,,,,,
"Engineering, Science & Technology",Chemistry & Biochemistry,Chemistry,Chemistry-Certified Track,BS,00090,400501,7,11,7,9,8,,,,,,,,,,,,,,,,
"Engineering, Science & Technology",Chemistry & Biochemistry,Chemistry,Chemistry-General Track,BS,00090,400501,12,13,14,12,11,,,,,,,,,,,,,,,,
"Engineering, Science & Technology",Computer Electronics & Graphics Technology,Computer Engineering Technology,,BS,13269,151201,123,112,85,90,104,,,,,,,,,,,,,,,,
"Engineering, Science & Technology",Computer Electronics & Graphics Technology,Electrical Engineering,,BS,19943,141001,2,14,27,42,56,,,,,,,,,,,,,,,,
"Engineering, Science & Technology",Computer Electronics & Graphics Technology,Electronics Technology,,BS,09933,150303,31,32,24,22,21,,,,,,,,,,,,,,,,
"Engineering, Science & Technology",Computer Electronics & Graphics Technology,Graphics Technology,,BS,17362,110801,20,19,17,18,13,,,,,,,,,,,,,,,,
"Engineering, Science & Technology",Computer Electronics & Graphics Technology,Networking Information Technology,,BS,17364,111001,88,75,70,61,68,,,,,,,,,,,,,,,,
"Engineering, Science & Technology",Computer Information Technology (Joint Program),Computer Information Technology,,MS,06901,110103,1,1,,,,,,,,,,,,,,,,,,,
"Engineering, Science & Technology",Computer Information Technology (Joint Program),Computer Information Technology,Computer Science,MS,06901,110103,26,12,16,18,16,,,,,,,,,,,,,,,,
"Engineering, Science & Technology",Computer Information Technology (Joint Program),Computer Information Technology,Netwrkng Telecomm Technology,MS,06901,110103,10,8,7,11,12,,,,,,,,,,,,,,,,
"Engineering, Science & Technology",Computer Science,Computer Science,,BA,22357,110101,,,,,5,,,,,,,,,,,,,,,,
"Engineering, Science & Technology",Computer Science,Computer Science,,BS,00043,110101,237,206,144,109,89,,,,,,,,,,,,,,,,
"Engineering, Science & Technology",Computer Science,Computer Science,"CS-Honors, Cybersecurity",BS,00043,110101,22,17,26,32,20,,,,,,,,,,,,,,,,
"Engineering, Science & Technology",Computer Science,Computer Science,"CS-Honors, General",BS,00043,110101,62,89,97,116,67,,,,,,,,,,,,,,,,
"Engineering, Science & Technology",Computer Science,Computer Science,"CSC-Alternative, Cybersecurity",BS,00043,110101,20,16,51,62,39,,,,,,,,,,,,,,,,
"Engineering, Science & Technology",Computer Science,Computer Science,"CSC-Alternative, General",BS,00043,110101,39,37,84,140,101,,,,,,,,,,,,,,,,
"Engineering, Science & Technology",Computer Science,Computer Science,Cybersecurity (CS - BA),BA,22357,110101,,,,,13,,,,,,,,,,,,,,,,
"Engineering, Science & Technology",Computer Science,Computer Science,Cybersecurity (CS-BS),BS,00043,110101,,,,,6,,,,,,,,,,,,,,,,
"Engineering, Science & Technology",Computer Science,Computer Science,General (CS - BA),BA,22357,110101,,,,,64,,,,,,,,,,,,,,,,
"Engineering, Science & Technology",Computer Science,Computer Science,General (CS-BS),BS,00043,110101,,,,,43,,,,,,,,,,,,,,,,
"Engineering, Science & Technology",Computer Science,Computer Science,General (Cybersecurity),BS,00043,110101,1,,,,,,,,,,,,,,,,,,,,
"Engineering, Science & Technology",Computer Science,Computer Science,Software Engineering (CS-BA),BA,22357,110101,,,,,1,,,,,,,,,,,,,,,,
"Engineering, Science & Technology",Computer Science,Computer Science,Software Engineering (CS-BS),BS,00043,110101,,,,,1,,,,,,,,,,,,,,,,
"Engineering, Science & Technology",Computer Science,Software Engineering,,MS,18966,140903,21,22,16,12,18,,,,,,,,,,,,,,,,
"Engineering, Science & Technology",Computer Science,Software Engineering,,OCP,20622,140903,,,,,1,,,,,,,,,,,,,,,,
"Engineering, Science & Technology",Cybersecurity (Joint Program),Cybersecurity,,BS,19464,111003,18,35,29,26,29,,,,,,,,,,,,,,,,
"Engineering, Science & Technology",Cybersecurity (Joint Program),Cybersecurity,Cyber Defense,BS,19464,111003,27,37,48,40,50,,,,,,,,,,,,,,,,
"Engineering, Science & Technology",Cybersecurity (Joint Program),Cybersecurity,Cyber Operations,BS,19464,111003,7,8,8,15,10,,,,,,,,,,,,,,,,
"Engineering, Science & Technology",Cybersecurity (Joint Program),Cybersecurity,General (Cybersecurity),BS,19464,111003,26,33,45,69,75,,,,,,,,,,,,,,,,
"Engineering, Science & Technology",Earth & Space Sciences,Earth Sciences,,BS,00092,400601,3,4,1,1,1,,,,,,,,,,,,,,,,
"Engineering, Science & Technology",Earth & Space Sciences,Earth Sciences,,BS-Teach,00092,400601,2,1,2,3,5,,,,,,,,,,,,,,,,
"Engineering, Science & Technology",Earth & Space Sciences,Earth Sciences,Environmental Earth Science,BS,00092,400601,11,16,16,17,18,,,,,,,,,,,,,,,,
"Engineering, Science & Technology",Earth & Space Sciences,Earth Sciences,Environmental Geology,BS,00092,400601,7,6,7,7,10,,,,,,,,,,,,,,,,
"Engineering, Science & Technology",Earth & Space Sciences,Earth Sciences,General Earth Science,BS,00092,400601,3,5,1,3,4,,,,,,,,,,,,,,,,
"Engineering, Science & Technology",Earth & Space Sciences,Earth Sciences,Geology,BS,00092,400601,13,8,6,8,6,,,,,,,,,,,,,,,,
"Engineering, Science & Technology",Earth & Space Sciences,Earth Sciences,Planetary Geology,BS,00092,400601,4,1,5,3,4,,,,,,,,,,,,,,,,
"Engineering, Science & Technology",Earth & Space Sciences,Science Education,,GRADCERT,10176,131316,2,3,1,1,2,,,,,,,,,,,,,,,,
"Engineering, Science & Technology",Engineering,Civil Engineering,,BS,15032,140801,95,108,103,103,103,,,,,,,,,,,,,,,,
"Engineering, Science & Technology",Engineering,Manufacturing Engineering Technology,,BS,02365,150613,72,65,62,52,54,,,,,,,,,,,,,,,,
"Engineering, Science & Technology",Engineering,Mechanical Engineering,,BS,14202,141901,68,69,50,39,39,,,,,,,,,,,,,,,,
"Engineering, Science & Technology",Engineering,Mechanical Engineering,Aerospace,BS,14202,141901,31,28,48,44,51,,,,,,,,,,,,,,,,
"Engineering, Science & Technology",Engineering,Mechanical Engineering,"Controls, Dynamics & Aerospace",MS,19967,141901,,,1,,,,,,,,,,,,,,,,,,
"Engineering, Science & Technology",Engineering,Mechanical Engineering,General,BS,14202,141901,168,162,137,132,153,,,,,,,,,,,,,,,,
"Engineering, Science & Technology",Engineering,Mechanical Engineering,Manufacturing,BS,14202,141901,7,13,32,37,32,,,,,,,,,,,,,,,,
"Engineering, Science & Technology",Engineering,Mechanical Engineering,"Mechanical Des, Mater & Mfg",MS,19967,141901,,4,10,9,6,,,,,,,,,,,,,,,,
"Engineering, Science & Technology",Engineering,Mechanical Engineering,Thermo-Fluids and Energy,MS,19967,141901,,,1,,1,,,,,,,,,,,,,,,,
"Engineering, Science & Technology",Engineering,Mechanical Engineering Technology,,BS,02813,150805,209,164,160,180,204,,,,,,,,,,,,,,,,
"Engineering, Science & Technology",Manufacturing & Construction Management,Construction Management,,BS,10186,522001,229,222,215,203,217,,,,,,,,,,,,,,,,
"Engineering, Science & Technology",Manufacturing & Construction Management,Construction Management,,MS,14421,522001,23,26,32,20,17,,,,,,,,,,,,,,,,
"Engineering, Science & Technology",Manufacturing & Construction Management,Construction Management,,OCP,14628,522001,3,1,2,3,3,,,,,,,,,,,,,,,,
"Engineering, Science & Technology",Manufacturing & Construction Management,Environmental Health/Safety,,OCP,14629,512202,,1,,,,,,,,,,,,,,,,,,,
"Engineering, Science & Technology",Manufacturing & Construction Management,Lean Manufact. and Six Sigma,,OCP,14630,150702,1,,,1,2,,,,,,,,,,,,,,,,
"Engineering, Science & Technology",Manufacturing & Construction Management,Manufacturing Management,,BS,18000,520205,45,42,58,48,39,,,,,,,,,,,,,,,,
"Engineering, Science & Technology",Manufacturing & Construction Management,Robotics/Mechatronics Engineering Technology,,BS,16962,150405,58,53,49,45,35,,,,,,,,,,,,,,,,
"Engineering, Science & Technology",Manufacturing & Construction Management,Supply Chain and Logistics,,OCP,14634,520203,2,2,,,,,,,,,,,,,,,,,,,
"Engineering, Science & Technology",Manufacturing & Construction Management,Supply Chain Logistics Management,,MS,19544,521301,14,16,14,8,9,,,,,,,,,,,,,,,,
"Engineering, Science & Technology",Manufacturing & Construction Management,Supply Chain Logistics Management,,MS,19545,521301,9,2,5,10,8,,,,,,,,,,,,,,,,
"Engineering, Science & Technology",Manufacturing & Construction Management,Technology Management,,BS,00071,150612,,30,23,25,30,,,,,,,,,,,,,,,,
"Engineering, Science & Technology",Manufacturing & Construction Management,Technology Management,,MS,00040,151501,28,24,29,23,33,,,,,,,,,,,,,,,,
"Engineering, Science & Technology",Manufacturing & Construction Management,Technology Management,Envir & Occup Safety,BS,00071,150612,1,,,,,,,,,,,,,,,,,,,,
"Engineering, Science & Technology",Manufacturing & Construction Management,Technology Management,Technology Management,BS,00071,150612,17,,1,,,,,,,,,,,,,,,,,,
"Engineering, Science & Technology",Mathematical Sciences,Data Science,,MS,09328,303001,40,45,39,63,79,,,,,,,,,,,,,,,,
"Engineering, Science & Technology",Mathematical Sciences,Data Science,,OCP,09289,303001,5,2,2,3,2,,,,,,,,,,,,,,,,
"Engineering, Science & Technology",Mathematical Sciences,Mathematics,,BA,00084,270101,22,12,11,7,5,,,,,,,,,,,,,,,,
"Engineering, Science & Technology",Mathematical Sciences,Mathematics,,BS-Teach,00084,270101,27,18,23,28,23,,,,,,,,,,,,,,,,
"Engineering, Science & Technology",Mathematical Sciences,Mathematics,,GRADCERT,10606,270101,9,14,10,8,6,,,,,,,,,,,,,,,,
"Engineering, Science & Technology",Mathematical Sciences,Mathematics,Actuarial Science,BA,00084,270101,31,17,18,20,18,,,,,,,,,,,,,,,,
"Engineering, Science & Technology",Mathematical Sciences,Mathematics,Actuarial Science,MA,00085,270101,4,1,1,3,3,,,,,,,,,,,,,,,,
"Engineering, Science & Technology",Mathematical Sciences,Mathematics,Computer Science,MA,00085,270101,4,3,,3,3,,,,,,,,,,,,,,,,
"Engineering, Science & Technology",Mathematical Sciences,Mathematics,Elementary Mathematics Ed,MS,00085,270101,9,13,9,10,10,,,,,,,,,,,,,,,,
"Engineering, Science & Technology",Mathematical Sciences,Mathematics,General,BA,00084,270101,17,17,14,17,13,,,,,,,,,,,,,,,,
"Engineering, Science & Technology",Mathematical Sciences,Mathematics,General,MA,00085,270101,7,9,9,9,4,,,,,,,,,,,,,,,,
"Engineering, Science & Technology",Mathematical Sciences,Mathematics,Honors,BA,00084,270101,,,1,2,6,,,,,,,,,,,,,,,,
"Engineering, Science & Technology",Mathematical Sciences,Mathematics,Secondary Mathematics Ed,MS,00085,270101,10,12,12,8,5,,,,,,,,,,,,,,,,
"Engineering, Science & Technology",Mathematical Sciences,Mathematics,Statistics,BA,00084,270101,12,9,11,11,9,,,,,,,,,,,,,,,,
"Engineering, Science & Technology",Mathematical Sciences,Mathematics,Statistics,MA,00085,270101,6,7,5,5,3,,,,,,,,,,,,,,,,
"Engineering, Science & Technology",Physics & Engineering Physics,Physics,,BS,00094,400801,7,7,5,4,2,,,,,,,,,,,,,,,,
"Engineering, Science & Technology",Physics & Engineering Physics,Physics,,BS-Teach,00094,400801,4,2,2,4,3,,,,,,,,,,,,,,,,
"Engineering, Science & Technology",Physics & Engineering Physics,Physics,Biology,BS,00094,400801,1,,1,,,,,,,,,,,,,,,,,,
"Engineering, Science & Technology",Physics & Engineering Physics,Physics,Engineering Physics,BS,00094,400801,4,3,8,8,7,,,,,,,,,,,,,,,,
"Engineering, Science & Technology",Physics & Engineering Physics,Physics,Finance,BS,00094,400801,3,,,,,,,,,,,,,,,,,,,,
"Engineering, Science & Technology",Physics & Engineering Physics,Physics,General-Physics,BS,00094,400801,26,11,14,17,15,,,,,,,,,,,,,,,,
"Engineering, Science & Technology",Physics & Engineering Physics,Science Education,,GRADCERT,10176,131316,,,1,1,,,,,,,,,,,,,,,,,
"Engineering, Science & Technology",Pre-Health Studies (Joint Program),Pre-Health Studies,,OCP,10169,511199,15,21,15,14,11,,,,,,,,,,,,,,,,
"Engineering, Science & Technology",STEM (Joint Program),"Science, Technology, Engineering and Math Education",,MS,17396,131309,19,20,17,11,10,,,,,,,,,,,,,,,,
"Engineering, Science & Technology",Technology & Engineering Education,Technology and Engineering Ed K-12,,BS-Teach,00058,131309,33,21,22,16,17,,,,,,,,,,,,,,,,
"Engineering, Science & Technology",Technology & Engineering Education,Technology and Engineering Ed K-12,,GRADCERT,10185,131309,5,4,2,2,5,,,,,,,,,,,,,,,,
"Engineering, Science & Technology",~No Dept/Shared,General Studies,,BGS,20405,240102,,,2,13,12,,,,,,,,,,,,,,,,
"Engineering, Science & Technology",~No Dept/Shared,Special Studies,,BS,00087,309999,,1,,,,,,,,,,,,,,,,,,,
"Engineering, Science & Technology",~No Dept/Shared,Undecided (Engineering & Technology),,BS,88888,,53,34,32,38,35,,,,,,,,,,,,,,,,
"Engineering, Science & Technology",Total,Total,Total,Total,Total,Total,2895,2665,2592,2699,2763,,,,,,,,,,,,,,,,
NoSchool or Inter-School,~No Dept/Shared,Exchange Student-GR,,,99999,,,,1,1,1,,,,,,,,,,,,,,,,
NoSchool or Inter-School,~No Dept/Shared,Exchange Student-UG,,,99999,,1,6,4,7,10,,,,,,,,,,,,,,,,
NoSchool or Inter-School,~No Dept/Shared,General Studies,,BGS,20405,240102,,,8,2,,,,,,,,,,,,,,,,,
NoSchool or Inter-School,~No Dept/Shared,Non-Matriculated Student-GR,,,99999,,123,82,103,101,104,,,,,,,,,,,,,,,,
NoSchool or Inter-School,~No Dept/Shared,Non-Matriculated Student-UG,,,99999,,190,126,161,240,338,,,,,,,,,,,,,,,,
NoSchool or Inter-School,~No Dept/Shared,Undecided,,00,88888,,330,244,243,243,225,,,,,,,,,,,,,,,,
NoSchool or Inter-School,Total,Total,Total,Total,Total,Total,644,458,520,594,678,,,,,,,,,,,,,,,,
University Total,Total,Total,Total,Total,Total,Total,10652,9653,9468,9712,9997,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
